name_district,name_region
Bom Retiro,Centro
Santa Cecília,Centro
Consolação,Centro
Liberdade,Centro
Sé,Centro
República,Centro
Bela Vista,Centro
Cambuci,Centro
Limão,Norte I
Casa Verde,Norte I
Santana,Norte I
Mandaqui,Norte I
Tremembé,Norte I
Tucuruvi,Norte I
Vila Medeiros,Norte I
Vila Maria,Norte I
Vila Guilherme,Norte I
Jaçanã,Norte I
Cachoeirinha,Norte I
Freguesia do Ó,Norte II
Pirituba,Norte II
Jaguara,Norte II
São Domingos,Norte II
Jaraguá,Norte II
Brasilândia,Norte II
Perus,Norte II
Anhanguera,Norte II
Barra Funda,Centro-Oeste
Perdizes,Centro-Oeste
Vila Leopoldina,Centro-Oeste
Pinheiros,Centro-Oeste
Jardim Paulista,Centro-Oeste
Alto de Pinheiros,Centro-Oeste
Lapa,Centro-Oeste
Butantã,Oeste
Vila Sônia,Oeste
Morumbi,Oeste
Campo Limpo,Oeste
Vila Andrade,Oeste
Rio Pequeno,Oeste
Raposo Tavares,Oeste
Jaguaré,Oeste
Itaim Bibi,Centro-Sul
Vila Mariana,Centro-Sul
Moema,Centro-Sul
Saúde,Centro-Sul
Jabaquara,Centro-Sul
Campo Belo,Centro-Sul
Santo Amaro,Centro-Sul
Ipiranga,Centro-Sul
Sacomã,Centro-Sul
Cursino,Centro-Sul
Capão Redondo,Sul
Jardim São Luís,Sul
Jardim Ângela,Sul
Socorro,Sul
Campo Grande,Sul
Cidade Ademar,Sul
Pedreira,Sul
Parelheiros,Sul
Cidade Dutra,Sul
Grajaú,Sul
Marsilac,Sul
Belém,Leste I
Tatuapé,Leste I
Mooca,Leste I
Água Rasa,Leste I
Vila Prudente,Leste I
Vila Matilde,Leste I
Vila Formosa,Leste I
Penha,Leste I
Carrão,Leste I
Sapopemba,Leste I
São Lucas,Leste I
Aricanduva,Leste I
Artur Alvim,Leste I
Cangaíba,Leste I
Ponte Rasa,Leste I
Pari,Leste I
Brás,Leste I
Ermelino Matarazzo,Leste I
Itaquera,Leste II
Cidade Líder,Leste II
Vila Jacuí,Leste II
Jardim Helena,Leste II
São Mateus,Leste II
São Rafael,Leste II
Iguatemi,Leste II
Guaianases,Leste II
Cidade Tiradentes,Leste II
Lajeado,Leste II
Itaim Paulista,Leste II
São Miguel,Leste II
Parque do Carmo,Leste II
José Bonifácio,Leste II
Vila Curuçá,Leste II
